,similarity_scores_85
Room Size:28 sq m(301 sq ft),"['460 Sq Ft', '46 Sq', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', '250 to 375 sq ft', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']"
Voice mail,['Voice mail']
Shower Area,['Shower Area']
Concierge desk,"['Concierge desk', 'Concierge']"
Cable TV service,"['Cable/satellite TV', 'Satellite TV service', 'TV with satellite / Cable TV channels', 'Cable Tv', 'Cable TV service', 'LCD television with multi channel cable', 'Digital TV service']"
Room Size: 500 sq m (5381 sq ft),"['460 Sq Ft', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', '250 to 375 sq ft', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', '350 to 375 sq ft', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']"
Full board rates available,"['Half board rates available', 'Full board rates available']"
Bridal Suite,['Bridal Suite']
Hydromassage showerhead,['Hydromassage showerhead']
Wi-Fi Internet access,"['Wi-Fi Internet access', 'Free Wi-Fi Internet Access Included', 'Wi Fi Internet', 'Wi-Fi Internet', 'Wi-Fi/Wireless LANMinibar', 'Internet/Wi-Fi', 'Chargeable Wi Fi Internet Connectivity']"
Corporate training,['Corporate training']
Rooftop garden,"['Rooftop terrace', 'Rooftop garden', 'Garden', 'Garden terrace']"
24-hr Coffee Shop,"['24-hour Coffee Shop', '24-hr Coffee Shop', '24 hour coffee shop']"
Separate living room,"['Living Room', 'Attached bathroom in all the rooms', 'Living Room and Bed Room', 'Separate living room', 'In-room safe (some rooms)', 'Separate dining room', 'Shared bathroom with sink in room']"
Pets not allowed,"['No pets except guide dogs', 'Pets Allowed', 'Pets not allowed', 'Pets allowed (dogs only)', 'Pets allowed (small)', 'Pets allowed']"
Wheelchair accessible,"['Wheelchair access', 'Wheelchair accessibility-Room', 'Wheelchair accessible']"
Sewing kit,['Sewing kit']
24-hr Room Service,"['Room service (24 hours)', '24 hour room service', 'Room Service 24 Hrs', 'Room Service, 24 Hour Reception', '24-hr Room Service', 'Room Service, 24 Hour Reception And Laundry Service', 'Room service (limited hours)', 'Room service(limited hours)', '24-hour Room Service']"
Airport Shuttle (free),"['Airport shuttle(surcharge)', 'Airport transportation (complimentary)', 'Airport transportation free', 'Airport Shuttle (free)', 'Shuttle Service (free)', 'Airport Shuttle', 'Airport Shuttle (surcharge)']"
Golf camps,['Golf camps']
Concierge Service,"['Concierge Service', 'Concierge services', 'Concierge']"
Tea / Coffee Maker,"['Tea coffee maker', 'TVTea/Coffee Maker', 'Coffee Maker', 'Tea/ Coffee Maker in the Rooms', 'TEA MAKER IN ROOM', 'Tea/coffee Maker', 'Tea / Coffee Maker', 'Tea Maker', 'Coffee/tea maker', 'Tea/Coffee maker in the Room', 'Coffee/tea in lobby', 'Tea/Coffee Maker']"
Pay 'n' Play Movies,"[""Pay 'n' Play Movies"", 'Pay movies']"
Squash,['Squash']
Hi Speed Internet Facility Is Available 24 Chargeble Extra ( Bord-band Bsnl),['Hi Speed Internet Facility Is Available 24 Chargeble Extra ( Bord-band Bsnl)']
Thalassotherapy (use of seawater),['Thalassotherapy (use of seawater)']
Tea Maker,"['Tea coffee maker', 'TVTea/Coffee Maker', 'Coffee Maker', 'TEA MAKER IN ROOM', 'Tea/coffee Maker', 'Tea / Coffee Maker', 'Tea Maker', 'Coffee/tea maker', 'Tea/Coffee Maker']"
Daily Newspaper,"['Daily Newspaper', 'Newspaper', 'TVDaily Newspaper']"
Children's Playground,"[""Children's pool"", ""Children's Playground"", ""Children's entertainment"", ""Children's activities"", ""Children's club""]"
Reception rooms,['Reception rooms']
Cards,['Cards']
Exercise room,['Exercise room']
Doorman/doorwoman,"['Doorman/doorwoman', 'Doorman']"
Park Nearby,"['Theme park nearby', 'Parking nearby', 'Park Nearby', 'Playground (nearby)', 'Parking (nearby)']"
Free parking (limited spaces),"['Free covered parking', 'Parking(free)', 'Free secure outdoor parking', 'Free secure covered parking', 'Free parking (limited spaces)', 'Free outdoor parking', 'Free secure parking', 'Free Parking', 'Parking (free)', 'Free self parking']"
Central Heating,"['Heating', 'Central Heating']"
Cribs/infant beds (complimentary),"['Cribs/infant beds (complimentary)', 'Cribs/infant beds available']"
Television-Room,"['Television-Room', 'TV room', 'Common TV Room']"
Inroom Broadband,"['Inroom Broadband', 'Broadband Internet Connection', 'Broadband Internet']"
Infinity pool,['Infinity pool']
Yachting,['Yachting']
Foot reflexology,['Foot reflexology']
Golf course on site,['Golf course on site']
Bakery,['Bakery']
Smoke detectors,['Smoke detectors']
Diving,"['Diving', 'Scuba Diving Facility']"
Lift / Elevator,"['Elevator/lift attendant', 'Lift / Elevator', 'Lift/elevator', 'Elevator/lift', 'Elevator']"
Special Diet Menus (on request),"['Special Diet Menus (on request)', 'Special diet menus (on request)']"
Steam Room,"['Steam Room', 'Steam room']"
Skiing,['Skiing']
Boules,['Boules']
Pool Terrace,"['Rooftop terrace', 'Swimming pool', 'Swimming Pool', 'Terrace', 'Pool Terrace', 'Garden terrace']"
Plunge Pool,"['Plunge pool', 'Private plunge pool', 'Plunge Pool', 'Cold plunge pool']"
Table games,"['Table games', 'Games Room', 'Games room']"
Room Size: 11 sq m (118 sq ft),"['460 Sq Ft', '46 Sq', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']"
Free Wi-Fi Internet Access Included,"['Wi-Fi Internet access', 'Free Wi-Fi Internet Access Included']"
Bicycle hire,"['Bicycle hire', 'Bicycles on Hire']"
Area shuttle (complimentary),"['Area shuttle (complimentary)', 'Area shuttle', 'Shopping center shuttle (complimentary)', 'Theme park shuttle (complimentary)', 'Area shuttle (surcharge)']"
Hair dryers,"['Hair Dryer', 'Hair dryers']"
Massage room,"['Massage - spa treatment room(s)', 'Massage-treatment room(s)', 'In-room massage available', 'Massage room']"
Moisturiser,['Moisturiser']
Restaurant/Bar,"['Bar', 'Restaurant', 'Restaurant/Bar', 'Restaurant (buffet)']"
Blackout drapes,"['Blackout drapes', 'Blackout drapes/curtains']"
Conditioner,['Conditioner']
One Hour Complimentary Use Of Wi-fi Per Day,['One Hour Complimentary Use Of Wi-fi Per Day']
Nature trails,['Nature trails']
Private spa pools,"['Private spa tub', 'Private plunge pool', 'Private spa pools', 'Private Pool']"
WiFi Internet Connectivity,"['Free WiFi Internet Connectivity', 'Internet / Wifi', 'Chargeable WiFi Internet', 'WiFi Internet Connectivity', 'Broadband Internet Connection', 'Chargeable WiFi Internet Connectivity', 'Free WiFi Internet', 'WiFi Internet']"
Pool view,"['Pool View', 'Pool or Garden View', 'Garden or Pool View', 'Pool view']"
Luggage storage,"['Luggage storage', 'Luggage Storage']"
Maid service,['Maid service']
"Free RV, bus, truck parking","['RV, bus, truck parking (surcharge)', 'Free RV, bus, truck parking', 'RV, bus, truck parking']"
DVD Player,"['DVD Player', 'CD Player', 'Dvd Player- Chargeable']"
Hot & Cold water,"['TVHot/cold Water', 'Hot & Cold water', 'Hot Water', '24-hrs Hot & Cold Water', 'hot water', 'Hot & Cold Running Water', '24-hr Hot & Cold Water', 'Hot/cold Water', 'TVHot & Cold Running Water']"
Express check in/out,"['Private check in/out', 'Express Check-In/Check-Out', 'Express check in/out', 'Express check-out', 'Express check-in']"
Spa (nearby),"['Spa (nearby)', 'Spa services nearby', 'Spa']"
Housekeeping - once per stay,['Housekeeping - once per stay']
Karaoke,['Karaoke']
Dry cleaning/laundry service,"['Laundry Service', 'Shoe cleaning service', 'Dry cleaning/laundry service', 'Dry Cleaning', 'Dry Cleaning Service', 'Room cleaning service']"
Shower/tub combination,"['Bath Tub', 'Shower', 'Bathtub or shower', 'Shower/tub combination', 'Separate bathtub and shower']"
Video-game console,"['Video Game Arcade', 'Video-game console', 'Video Games']"
Room Size: 12 sq m (129 sq ft),"['460 Sq Ft', '46 Sq', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', '250 to 375 sq ft', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']"
260 Sq Ft,"['460 Sq Ft', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', '250 to 375 sq ft', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', '350 to 375 sq ft', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']"
Television in lobby,"['Television in lobby', 'Firplace in lobby']"
Dial-up Internet access (surcharge),"['Wired high-speed Internet access (surcharge)', 'Dial-up Internet access - complimentary', 'Dial-up Internet access (complimentary)', 'Dial-up Internet access (surcharge)', 'Internet access-dial-up', 'Internet access', 'Dial-up Internet access - surcharge', 'Wired (high-speed) Internet access - surcharge', 'Wireless Internet access (surcharge)', 'Internet access-surcharge', 'Internet access-complimentary', 'Wireless Internet access - surcharge']"
Broadband Internet Connection,"['Free WiFi Internet Connectivity', 'ADSL Internet service', 'Inroom Broadband', 'WiFi Internet Connectivity', 'Broadband Internet Connection', 'Wired Internet', 'Broadband Internet', 'High-speed broadband and wireless Internet access', 'Internet access']"
Complimentary laptop,['Complimentary laptop']
Yoga Classis,['Yoga Classis']
Barber,['Barber']
Dry Cleaning,"['Dry cleaning/laundry service', 'Dry Cleaning', 'Dry Cleaning Service']"
Pure Veg,"['Pure veg restaurant', 'Pure Veg']"
Jogging track (nearby),"['Jogging track (nearby)', 'Jogging track']"
Primium bathrooms,['Primium bathrooms']
Telephone,"['Telephone', 'Telephone-Room']"
Childcare facilities,['Childcare facilities']
Massage,"['Massage', 'Spa/Massage/Wellness']"
View of the Taj Mahal,['View of the Taj Mahal']
460 Sq. Ft.,"['460 Sq Ft', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', '250 to 375 sq ft', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', '350 to 375 sq ft', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']"
TV room,"['Television-Room', 'TV room', 'Common TV Room', 'TV lounge']"
Horse Riding,"['Horse Riding', 'Horse riding (nearby)', 'Horse riding']"
Weighing Scale,['Weighing Scale']
Common Washroom,['Common Washroom']
Separate bathtub and shower,"['Shower only', 'Shower', 'Bathtub or shower', 'Bathtub only', 'Shower/tub combination', 'Separate bathtub and shower']"
Hot Spring Bath,['Hot Spring Bath']
Snack Basket,['Snack Basket']
Business Centre,"['Business center', 'Business Centre', 'Business centre', 'Financial centre']"
Mini-bar,"['Mini-bar', 'Mini bar']"
Aromatherapy,['Aromatherapy']
Railway Station Transfer,"['Complimentary Airport/Railway Station Transfer', 'Complimentary Airport/railway Station Transfer', 'Railway Station Transfer', 'Airport/Railway Station Transfer']"
Chocolate/Cookie Platter,"['Chocolate/Cookie Platter', 'Cookie & Chocolate Platter']"
Book Shop,['Book Shop']
Sundeck,['Sundeck']
Room Size:29 sq m(312 sq ft),"['460 Sq Ft', '46 Sq', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', '250 to 375 sq ft', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']"
Technology support staff,['Technology support staff']
Shoe Shine,"['Shoe Shine', 'Shoe shine']"
Smoke-free property (fines apply),"['Smoke-free property (fines apply)', 'Smoke-free property']"
Room Size: 380 sq m (4090 sq ft),"['460 Sq Ft', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', '250 to 375 sq ft', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', '350 to 375 sq ft', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']"
